id,topografi,pekerjaan_utama,prop_pln,bhn_bakar_masak,pemukiman_kumuh,pemukiman_bantaran,jml_paud_tk,jml_sd_sederajat,jml_smp_sederajat,jml_sma_sederajat,jml_akademi_pt,jml_rs_rsb,jml_puskesmas_pustu,jml_poli_dokter,jml_bersalin_bidan,jml_poskesdes_polindes,jml_dr_drg,jml_bank,status
PDS-24482,1,1,0.5353535353535354,2,2,1,8,2,1,0,0,0,1,0,1,1,0,0,DESA
PDS-19092,3,1,0.7626112759643917,2,1,2,1,6,2,0,0,0,1,0,2,0,0,0,DESA
PDS-1428,3,4,0.9966044142614601,2,2,2,4,6,1,1,1,0,0,5,3,1,4,4,DESA
PDS-18470,3,1,1.0,2,2,2,2,4,1,1,0,0,0,0,2,1,0,0,DESA
PDS-16186,3,1,1.0,2,2,1,2,2,1,2,0,0,0,0,1,1,0,0,DESA
PDS-13104,3,1,1.0,2,2,1,6,2,1,1,0,0,1,0,0,0,0,0,DESA
PDS-7572,1,1,1.0,2,2,1,10,4,2,1,0,0,1,2,2,0,4,2,DESA
PDS-3351,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,0,0,1,0,DESA
PDS-20776,3,1,1.0,2,2,0,2,1,0,0,0,0,0,0,1,1,0,0,DESA
PDS-21217,1,1,1.0,2,2,2,2,3,0,0,0,0,0,1,1,1,0,0,DESA
PDS-2005,3,1,1.0,2,2,2,4,3,1,0,0,0,0,0,1,1,0,0,DESA
PDS-23155,3,4,1.0,3,1,1,10,7,1,1,0,0,1,0,0,0,6,5,KELURAHAN
PDS-19406,3,1,1.0,2,2,2,4,4,0,0,0,0,1,0,1,0,0,0,DESA
PDS-12036,3,1,1.0,2,2,2,6,3,1,0,0,0,0,0,2,2,0,0,DESA
PDS-19436,1,7,1.0,5,2,0,4,6,2,2,0,0,1,0,1,1,0,0,DESA
PDS-5378,3,1,1.0,2,2,2,4,2,1,0,0,0,0,0,1,1,0,0,DESA
PDS-17997,1,1,0.9899059417297545,2,1,2,14,5,1,1,0,0,0,0,8,2,0,0,DESA
PDS-0200,3,1,1.0,2,2,0,2,2,0,0,0,0,0,0,4,0,0,0,DESA
PDS-23885,3,3,1.0,2,2,1,22,4,1,2,1,0,0,6,4,1,2,2,DESA
PDS-8269,3,3,1.0,2,2,2,2,2,0,0,0,0,1,0,1,1,0,0,DESA
PDS-7726,3,4,1.0,2,1,1,6,3,2,1,0,0,0,1,2,0,1,2,KELURAHAN
PDS-16816,3,1,1.0,5,2,0,8,4,0,0,0,0,1,0,0,1,0,0,DESA
PDS-13397,3,1,1.0,2,2,2,2,1,1,0,0,0,0,0,1,2,0,0,DESA
PDS-6063,3,1,1.0,2,2,2,2,2,0,0,0,0,0,0,2,1,0,0,DESA
PDS-22957,1,1,1.0,5,2,1,2,2,0,0,0,0,0,0,0,1,0,0,DESA
PDS-6245,3,1,1.0,2,2,2,6,2,1,0,0,0,1,1,1,1,0,0,DESA
PDS-11618,3,1,1.0,2,2,2,2,1,0,1,0,0,0,1,1,1,2,0,DESA
PDS-10145,3,1,1.0,2,2,2,2,4,2,0,0,0,0,0,1,0,0,1,DESA
PDS-10844,1,1,1.0,2,2,0,2,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-14518,3,3,1.0,2,1,0,4,1,0,0,0,0,1,0,1,0,1,0,DESA
PDS-18722,3,1,1.0,2,2,2,0,2,0,0,0,0,0,0,1,1,0,0,DESA
PDS-11130,3,1,1.0,2,1,2,6,4,0,0,0,0,1,0,0,1,0,0,DESA
PDS-3028,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,1,1,0,DESA
PDS-25119,3,1,1.0,2,2,2,2,4,1,1,0,0,1,0,1,1,0,2,DESA
PDS-19698,3,1,0.9246317231928742,2,2,2,2,7,0,0,0,0,1,0,4,1,0,0,DESA
PDS-14558,3,1,1.0,2,2,2,6,3,1,0,0,0,1,0,1,0,0,0,DESA
PDS-16005,3,1,1.0,2,2,0,6,3,0,0,0,0,0,0,1,1,0,0,DESA
PDS-21944,3,3,1.0,2,2,1,8,7,1,0,0,0,0,0,2,1,0,0,DESA
PDS-21413,3,1,0.8636363636363636,2,1,1,1,8,3,0,0,0,0,0,3,1,0,0,DESA
