id,topografi,pekerjaan_utama,prop_pln,bhn_bakar_masak,pemukiman_kumuh,pemukiman_bantaran,jml_paud_tk,jml_sd_sederajat,jml_smp_sederajat,jml_sma_sederajat,jml_akademi_pt,jml_rs_rsb,jml_puskesmas_pustu,jml_poli_dokter,jml_bersalin_bidan,jml_poskesdes_polindes,jml_dr_drg,jml_bank
PDS-0010,3,1,1.0,2,1,1,6,3,1,2,0,0,1,2,4,1,1,0
PDS-0012,3,4,1.0,2,1,2,4,3,1,1,0,0,1,11,2,0,10,8
PDS-0014,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0
PDS-0017,3,3,1.0,2,2,0,4,3,1,1,0,0,1,2,3,0,2,0
PDS-0025,3,1,1.0,2,2,2,4,6,0,0,0,0,1,2,2,1,1,1
PDS-0026,3,4,1.0,3,2,2,6,9,7,7,1,1,2,33,3,0,73,12
PDS-0041,1,1,1.0,5,2,2,2,3,0,0,0,0,0,0,2,1,0,0
PDS-0054,3,1,1.0,2,1,2,6,3,1,1,0,0,1,1,2,1,0,1
PDS-0056,1,1,1.0,2,2,2,0,2,0,0,0,0,0,0,1,1,0,0
PDS-0061,3,1,0.9062146892655367,5,1,1,2,4,1,0,0,0,0,0,2,0,0,0
PDS-0068,3,1,1.0,2,1,0,6,4,0,0,0,0,0,2,4,0,1,0
PDS-0078,3,1,1.0,3,2,0,20,3,1,1,0,0,0,3,2,2,2,0
PDS-0083,3,1,1.0,2,2,2,0,2,1,0,0,0,0,0,0,1,0,0
PDS-0087,3,1,1.0,2,2,2,4,3,0,0,0,0,0,0,1,1,0,0
PDS-0090,3,1,1.0,2,2,2,4,2,0,0,0,0,0,0,4,0,0,0
PDS-0098,3,1,1.0,5,2,2,2,2,0,0,0,0,1,0,1,1,1,0
PDS-0106,3,1,1.0,2,2,2,0,4,1,1,0,0,0,0,4,0,0,0
PDS-0113,3,1,1.0,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0
PDS-0118,3,1,1.0,2,2,2,4,1,0,0,0,0,0,1,1,0,3,0
PDS-0126,3,6,1.0,2,2,2,2,3,1,1,0,0,1,3,4,6,2,1
PDS-0127,3,1,1.0,2,2,2,4,3,2,1,0,0,1,2,1,2,0,0
PDS-0137,3,1,1.0,2,2,0,2,2,1,0,0,0,0,0,0,1,1,0
PDS-0139,3,1,1.0,2,2,2,2,2,0,0,0,0,1,1,1,1,1,1
PDS-0142,3,1,1.0,5,2,2,2,3,0,0,0,0,0,0,1,1,2,0
PDS-0146,3,4,1.0,2,2,2,4,4,0,0,0,0,0,4,2,1,5,10
PDS-0149,3,6,1.0,2,2,2,5,3,5,13,1,0,2,5,2,1,7,4
PDS-0153,3,4,1.0,2,2,2,2,2,3,3,0,0,1,2,1,0,2,8
PDS-0154,3,1,1.0,3,2,0,10,6,1,0,0,0,2,0,3,1,0,0
PDS-0156,1,1,1.0,2,2,2,4,2,1,1,0,0,0,0,1,2,1,0
PDS-0160,1,1,1.0,3,2,2,10,1,0,0,0,0,0,1,1,2,0,0
PDS-0162,3,1,1.0,3,2,2,6,2,0,0,0,0,1,0,2,2,0,0
PDS-0163,3,1,1.0,2,2,2,2,3,1,1,0,0,1,1,1,0,1,2
PDS-0164,3,1,1.0,2,2,1,8,5,2,0,0,0,1,1,0,1,0,0
PDS-0166,3,4,1.0,2,2,2,2,3,0,0,0,0,1,2,0,1,4,0
PDS-0167,3,1,1.0,2,2,2,2,2,0,0,0,0,1,1,1,0,0,0
PDS-0175,3,1,1.0,2,2,2,10,3,0,0,0,0,0,0,0,1,0,0
PDS-0187,3,1,1.0,2,2,2,2,4,2,2,0,0,0,0,2,2,0,0
PDS-0188,3,1,1.0,2,2,2,0,1,0,0,0,0,0,0,1,1,0,0
PDS-0190,3,1,1.0,3,2,1,4,4,0,0,0,0,2,2,1,1,2,0
PDS-0191,3,4,1.0,2,2,1,20,3,0,0,0,1,1,5,2,0,5,1
PDS-0193,3,4,1.0,2,2,2,12,11,3,2,1,0,0,6,8,0,8,3
PDS-0194,3,6,1.0,2,1,1,10,7,1,2,1,1,1,16,2,0,3,1
PDS-0196,3,1,1.0,2,2,2,4,4,0,0,0,0,0,0,2,1,0,0
PDS-0198,3,1,1.0,2,2,2,6,3,0,0,0,0,1,1,2,1,1,0
PDS-0202,3,1,1.0,2,1,1,5,4,4,2,0,0,1,0,2,0,0,0
PDS-0203,3,1,1.0,2,2,2,8,8,2,3,0,0,1,0,1,1,4,0
PDS-0204,1,1,1.0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,0
PDS-0205,3,1,1.0,2,2,2,4,7,1,0,0,0,1,0,3,1,0,0
PDS-0207,3,1,1.0,2,2,0,2,1,0,0,0,0,1,0,1,1,0,0
PDS-0208,1,1,0.9895470383275261,5,2,0,6,2,1,1,0,0,0,0,0,2,0,0
PDS-0214,1,1,1.0,2,2,2,2,2,0,0,0,0,0,0,1,0,0,0
